"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","713","Ошибка если не передан login","tests","Sat Apr 26 14:22:49 CEST 2025","passed","Sat Apr 26 14:22:50 CEST 2025","TestCourierCreate","test_courier_create","",""
"","719","Ошибка если не передан login","tests","Sat Apr 26 14:22:53 CEST 2025","passed","Sat Apr 26 14:22:54 CEST 2025","TestCourierLogin","test_courier_login","",""
"","2625","Нельзя создать двух одинаковых курьеров","tests","Sat Apr 26 14:22:46 CEST 2025","passed","Sat Apr 26 14:22:49 CEST 2025","TestCourierCreate","test_courier_create","",""
"","565","Успешный логин возвращает id","tests","Sat Apr 26 14:23:57 CEST 2025","passed","Sat Apr 26 14:23:57 CEST 2025","TestCourierLogin","test_courier_login","",""
"","8755","Курьера можно создать","tests","Sat Apr 26 14:22:38 CEST 2025","passed","Sat Apr 26 14:22:46 CEST 2025","TestCourierCreate","test_courier_create","",""
"","639","Ошибка для несуществующего пользователя","tests","Sat Apr 26 14:23:56 CEST 2025","passed","Sat Apr 26 14:23:56 CEST 2025","TestCourierLogin","test_courier_login","",""
"","638","Ошибка при неправильных логине или пароле","tests","Sat Apr 26 14:23:55 CEST 2025","passed","Sat Apr 26 14:23:56 CEST 2025","TestCourierLogin","test_courier_login","",""
"","585","Создание заказа с разными цветами","tests","Sat Apr 26 14:24:00 CEST 2025","passed","Sat Apr 26 14:24:01 CEST 2025","TestOrderCreate","test_order_create","",""
"","630","Создание заказа с разными цветами","tests","Sat Apr 26 14:23:59 CEST 2025","passed","Sat Apr 26 14:24:00 CEST 2025","TestOrderCreate","test_order_create","",""
"","658","Создание заказа с разными цветами","tests","Sat Apr 26 14:24:01 CEST 2025","passed","Sat Apr 26 14:24:02 CEST 2025","TestOrderCreate","test_order_create","",""
"","2239","Получение списка заказов","tests","Sat Apr 26 14:24:02 CEST 2025","passed","Sat Apr 26 14:24:04 CEST 2025","TestOrdersList","test_orders_list","",""
"","60583","Ошибка если не передан password","tests","Sat Apr 26 14:22:54 CEST 2025","failed","Sat Apr 26 14:23:55 CEST 2025","TestCourierLogin","test_courier_login","",""
"","639","Ошибка если не передан password","tests","Sat Apr 26 14:22:50 CEST 2025","passed","Sat Apr 26 14:22:50 CEST 2025","TestCourierCreate","test_courier_create","",""
"","685","Создание заказа с разными цветами","tests","Sat Apr 26 14:23:59 CEST 2025","passed","Sat Apr 26 14:23:59 CEST 2025","TestOrderCreate","test_order_create","",""
"","581","Создание заказа с разными цветами","tests","Sat Apr 26 14:24:01 CEST 2025","passed","Sat Apr 26 14:24:01 CEST 2025","TestOrderCreate","test_order_create","",""
"","777","Курьер может авторизоваться","tests","Sat Apr 26 14:22:51 CEST 2025","passed","Sat Apr 26 14:22:52 CEST 2025","TestCourierLogin","test_courier_login","",""
